fr_sum,serial_num,vp_exp_dummy,num_comp_exp,product_num,num_news,inv_num,cs_dummy,biz_dummy,master_dummy,age
315000,1,0,5,1,5,0,0,0,0,32
315000,1,0,1,1,5,0,0,0,0,25
0,1,1,12,0,0,0,0,0,0,25
0,1,0,4,0,0,0,1,0,1,25
0,1,1,10,0,0,0,1,0,1,25
0,1,0,1,0,2,0,0,0,0,25
29000000,2,1,3,1,7,0,1,0,0,25
0,1,0,1,1,0,0,0,0,0,25
0,1,0,2,1,0,0,0,0,0,25
0,1,0,2,1,0,0,0,0,0,25
31500000,3,0,3,4,9,0,0,0,0,25
31930000,1,0,3,2,3,0,0,0,0,25
31930000,3,0,6,2,3,0,1,0,0,25
65000000,2,0,4,2,20,1,0,0,0,25
0,2,0,2,2,5,0,0,0,0,25
70000000,1,0,10,3,9,0,0,0,0,25
0,3,0,4,1,6,0,0,0,0,44
0,1,0,1,1,6,0,0,0,0,25
0,2,0,4,1,6,0,0,1,0,25
0,1,1,11,1,13,0,1,0,0,25
69000000,1,1,3,0,2,1,0,0,0,25
0,1,1,2,0,0,0,0,1,0,25
0,1,0,7,3,2,0,0,1,0,44
1099988,2,0,4,0,16,0,1,0,0,25
515000,1,0,2,0,12,0,0,0,0,27
0,2,0,4,0,0,0,0,0,0,25
6309000,2,0,4,2,12,0,0,0,0,25
1309000,1,1,5,2,4,0,0,1,0,25
0,1,0,1,1,1,0,0,0,0,25
0,1,0,2,1,1,0,0,0,0,25
2781000,1,0,1,1,2,0,0,0,0,25
2781000,1,0,1,1,2,0,0,0,0,25
0,2,0,4,1,3,0,1,0,0,32
6000000,2,1,5,1,3,5,0,1,0,25
6000000,2,0,2,1,3,0,0,0,0,25
151650012,2,0,2,3,5,0,0,1,0,25
0,1,0,1,2,11,0,0,0,0,25
0,1,0,1,2,11,0,0,0,0,25
0,1,0,3,0,0,0,1,0,0,25
4000000,1,0,1,0,7,0,0,0,0,25
0,1,0,12,0,0,0,0,0,0,25
0,3,0,5,0,0,0,0,0,0,25
15000,2,0,4,1,2,0,1,0,0,25
20536346,3,0,6,1,4,0,0,0,0,25
0,1,0,2,1,5,0,0,0,0,25
0,1,0,1,1,1,0,0,0,0,25
0,1,0,2,1,1,0,0,0,0,25
0,1,0,1,1,1,0,0,0,0,25
0,3,1,8,0,1,0,1,0,0,25
0,1,1,9,0,0,0,0,1,0,25
0,2,0,2,1,1,0,0,0,0,25
0,1,0,2,1,1,0,1,0,0,25
0,1,0,4,0,0,0,0,0,0,25
0,3,0,7,0,0,0,1,0,0,25
68500000,1,0,2,0,27,0,0,0,0,25
68500000,1,0,1,0,27,0,0,0,0,25
0,1,0,2,0,2,0,0,0,0,59
0,1,0,2,0,0,0,0,0,0,25
12700000,1,0,1,1,16,0,0,0,0,25
73200000,4,1,8,0,22,0,0,1,0,25
3500000,2,0,8,0,4,0,1,0,0,25
57700000,3,0,5,11,2,3,0,1,0,1014
0,1,1,19,0,0,0,0,1,0,25
148377171,6,0,9,1,51,4,0,0,0,25
28300000,1,0,4,1,30,0,0,0,0,25
1000000,1,0,2,1,1,0,0,0,0,25
65100000,2,0,2,1,5,0,0,1,0,25
36140000,1,0,1,4,3,0,0,1,0,25
6500000,1,0,1,1,3,0,0,0,0,25
12000,3,0,4,3,5,0,0,1,0,30
12000,1,0,4,2,4,0,0,0,0,28
26000000,1,0,2,1,2,0,1,0,0,25
0,1,0,15,0,0,3,0,0,0,25
0,1,1,7,2,19,0,1,0,1,25
0,1,0,1,6,5,0,0,0,0,25
0,1,0,3,6,5,1,0,0,0,25
12400000,1,0,1,2,7,0,1,0,0,25
1500000,4,0,4,1,0,0,0,0,0,25
0,1,0,1,1,0,0,0,0,0,25
0,1,0,2,1,5,0,0,0,0,25
25000000,4,0,9,1,12,0,0,0,0,35
2250000,1,1,13,1,3,1,0,0,1,25
0,3,0,4,2,11,0,0,0,0,25
0,1,0,5,0,0,0,0,1,0,25
0,1,0,6,0,0,0,0,0,0,25
1000000,3,0,12,1,3,0,0,0,0,25
12699985,3,0,4,1,5,0,0,1,0,25
7428000,3,0,5,1,9,0,0,0,0,25
0,2,1,7,0,9,0,0,0,0,25
8500000,7,1,31,0,14,20,1,0,0,25
161000000,1,1,4,0,100,10,1,0,0,25
0,1,0,1,1,1,0,0,0,0,25
40750000,3,1,4,4,33,0,0,0,1,25
48913000,2,1,9,7,43,0,0,1,0,25
0,2,0,7,6,0,0,1,0,0,25
0,1,0,2,1,3,0,0,0,0,25
142799000,1,0,2,1,7,0,0,0,0,25
15000,1,0,3,1,2,0,1,0,1,25
15000,1,0,3,1,2,0,1,0,0,25
2094920,3,0,4,0,40,0,0,0,0,25
2094920,4,0,10,0,40,0,0,0,0,25
1915000,1,1,11,1,3,0,0,1,0,25
1610000,4,0,5,2,3,0,0,0,0,32
210000,1,1,5,2,1,0,0,0,0,25
0,1,1,2,0,0,0,0,0,0,25
15000,1,0,3,3,1,0,0,0,0,25
15000,1,0,1,3,1,0,0,0,0,25
